scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,432.05718994140625,262.1529846191406,0.9999133348464966,442.39501953125,57.19173049926758,0.9929123520851135,383.9089050292969,240.03121948242188,0.9993150234222412,404.0404357910156,333.87298583984375,0.9990850687026978,488.5033874511719,234.55459594726562,0.9996351003646851,461.13970947265625,316.7748107910156,0.9972317814826965,981.134521484375,526.2371826171875,0.9995682835578918
1,432.2109069824219,262.210693359375,0.9999184608459473,442.39501953125,57.19173049926758,0.9914081692695618,383.94415283203125,240.03121948242188,0.999292254447937,404.1421813964844,333.9785461425781,0.9990501999855042,488.5318603515625,234.55459594726562,0.9996172189712524,461.32373046875,316.7748107910156,0.9971392154693604,981.1376953125,526.238525390625,0.9995678067207336
2,432.4425048828125,262.2920837402344,0.9999217987060547,442.39501953125,57.19173049926758,0.9906473755836487,384.0259704589844,240.03121948242188,0.999320387840271,404.2259216308594,334.2725524902344,0.9989537000656128,489.24273681640625,234.55459594726562,0.9996477365493774,461.8083801269531,316.7748107910156,0.9974647760391235,981.1381225585938,526.2413330078125,0.9995670914649963
3,432.4425048828125,262.4084777832031,0.9999241828918457,441.06109619140625,56.157779693603516,0.9863552451133728,384.44818115234375,238.98471069335938,0.9993209838867188,404.39312744140625,334.4848937988281,0.9989742040634155,489.24273681640625,234.55459594726562,0.9996370077133179,461.8458251953125,316.7499084472656,0.9970961809158325,981.1376953125,526.2413330078125,0.9995680451393127
4,432.4425048828125,262.4084777832031,0.9999252557754517,440.9602966308594,55.8506965637207,0.988137423992157,384.4493713378906,238.9712371826172,0.9993163347244263,404.5072326660156,334.6944885253906,0.9989842772483826,489.24273681640625,234.55459594726562,0.9996360540390015,461.8316345214844,316.64971923828125,0.996801495552063,981.1381225585938,526.2442626953125,0.9995678067207336
5,432.55548095703125,262.4084777832031,0.9999229907989502,440.87890625,55.78717803955078,0.9896506071090698,384.4742126464844,238.91258239746094,0.9993002414703369,404.52734375,334.6944885253906,0.9989262223243713,489.2913513183594,234.53765869140625,0.9996402263641357,461.8377685546875,316.6068420410156,0.9968633651733398,981.1401977539062,526.2456665039062,0.9995668530464172
6,432.65509033203125,262.2632141113281,0.999921441078186,440.8487854003906,55.78717803955078,0.9897835850715637,384.4768371582031,238.91258239746094,0.9992751479148865,404.5796813964844,334.6944885253906,0.9989343285560608,489.3436584472656,234.53765869140625,0.9996520280838013,461.8377685546875,316.4935302734375,0.9968541264533997,981.1414184570312,526.264892578125,0.9995607733726501
7,432.7614440917969,262.19012451171875,0.9999316930770874,440.8487854003906,55.84115219116211,0.990628182888031,384.5273742675781,238.9450225830078,0.9992538094520569,404.6046447753906,334.5290222167969,0.9990485310554504,489.43280029296875,234.67161560058594,0.9996275901794434,461.8999328613281,316.4935302734375,0.9970307350158691,981.1414184570312,526.264892578125,0.9995614886283875
