scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,452.51422119140625,404.92767333984375,0.9988208413124084,455.9098815917969,128.39169311523438,0.8789259195327759,422.26654052734375,366.1415100097656,0.9987398982048035,436.678466796875,470.058349609375,0.9982878565788269,493.2201843261719,367.62774658203125,0.9995638728141785,489.3747863769531,493.3734130859375,0.976233184337616,990.99951171875,500.1871337890625,0.9996455907821655
1,453.0193176269531,404.96826171875,0.9990845918655396,455.9570007324219,128.45120239257812,0.8936816453933716,422.4028625488281,367.0065612792969,0.9991200566291809,436.678466796875,470.058349609375,0.9991376399993896,493.55706787109375,368.3266906738281,0.999275267124176,490.5704345703125,493.437744140625,0.9855161309242249,990.99951171875,500.18914794921875,0.9996438026428223
2,453.0193176269531,406.2046203613281,0.9987686276435852,455.9954528808594,128.46994018554688,0.8864830136299133,422.4028625488281,368.0096130371094,0.9985036849975586,436.678466796875,471.0591125488281,0.9990222454071045,493.55706787109375,368.65643310546875,0.9996896982192993,490.5704345703125,493.7370300292969,0.978981077671051,990.99951171875,500.18914794921875,0.99964439868927
3,452.51422119140625,406.3581237792969,0.998840868473053,456.00537109375,128.49444580078125,0.890300989151001,422.4028625488281,367.4247741699219,0.9984695315361023,436.5115661621094,471.0591125488281,0.9991729855537415,493.801025390625,368.6604309082031,0.9996225833892822,490.1905517578125,493.79669189453125,0.9799174666404724,990.9984130859375,500.1883544921875,0.9996448755264282
4,452.5012512207031,407.5559387207031,0.9986646175384521,456.0081481933594,128.60296630859375,0.885951817035675,422.07818603515625,367.4247741699219,0.9983238577842712,436.5115661621094,471.9400329589844,0.998678982257843,493.801025390625,368.9491271972656,0.9996919631958008,490.1905517578125,494.1716613769531,0.9782240986824036,990.9984130859375,500.1883544921875,0.9996440410614014
5,452.5012512207031,407.6502685546875,0.998645007610321,456.0081481933594,128.7639617919922,0.8816412687301636,422.07818603515625,367.4247741699219,0.998866081237793,436.5115661621094,472.82965087890625,0.99810791015625,493.801025390625,369.7833557128906,0.9997606873512268,490.21771240234375,494.67376708984375,0.9866012930870056,990.998291015625,500.1883544921875,0.999643087387085
6,452.5012512207031,407.6502685546875,0.9986218214035034,456.0081481933594,128.85061645507812,0.9004480242729187,422.07818603515625,367.4247741699219,0.9989135265350342,436.5091247558594,472.82965087890625,0.9980073571205139,493.801025390625,369.8349304199219,0.9997493624687195,490.1905517578125,494.67376708984375,0.9861018657684326,990.9979248046875,500.18780517578125,0.999643087387085
7,452.5012512207031,407.6502685546875,0.9982258677482605,456.0081481933594,129.40682983398438,0.8685778975486755,422.07818603515625,367.36553955078125,0.9988201260566711,436.5091247558594,472.82965087890625,0.9971960783004761,493.801025390625,369.8349304199219,0.9998123049736023,490.1905517578125,494.67376708984375,0.9825798869132996,990.9976806640625,500.18780517578125,0.9996436834335327
