scorer,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000,DLC_resnet50_stim01-trainedJun9shuffle4_320000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,LeftKnee,LeftKnee,LeftKnee,LeftFoot,LeftFoot,LeftFoot,RightKnee,RightKnee,RightKnee,RightFoot,RightFoot,RightFoot,SoundStimuli,SoundStimuli,SoundStimuli
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,381.5338439941406,282.8734436035156,0.999901533126831,406.567626953125,54.98250198364258,0.9998093247413635,315.96331787109375,210.6619110107422,0.9999459981918335,289.48553466796875,309.82427978515625,0.9986655712127686,451.3463439941406,246.8662109375,0.999934196472168,417.8522033691406,352.6974792480469,0.9995336532592773,979.762939453125,531.0353393554688,0.9998258948326111
1,381.5338439941406,283.1711120605469,0.9996856451034546,406.567626953125,54.99446487426758,0.9998414516448975,315.96331787109375,210.6619110107422,0.9999003410339355,289.48553466796875,309.82427978515625,0.9997783303260803,451.3463439941406,249.0304412841797,0.9999094009399414,417.8522033691406,354.06622314453125,0.9994494318962097,979.762939453125,531.0353393554688,0.9998279809951782
2,381.5338439941406,283.5160217285156,0.9997115731239319,406.567626953125,54.99446487426758,0.9998469352722168,315.96331787109375,210.6619110107422,0.9998986721038818,289.48553466796875,309.82427978515625,0.9997785687446594,451.3463439941406,249.0606231689453,0.9999077320098877,417.8522033691406,354.16253662109375,0.9994606375694275,979.762939453125,531.0353393554688,0.999810516834259
3,381.5338439941406,283.85577392578125,0.9997202754020691,406.567626953125,54.99446487426758,0.9998499155044556,314.60504150390625,209.48660278320312,0.9998660087585449,287.7070617675781,308.8665771484375,0.9987831711769104,451.3463439941406,249.20028686523438,0.9999264478683472,413.5081787109375,354.6643981933594,0.9990488886833191,979.762939453125,531.0341186523438,0.9998101592063904
4,382.3592529296875,283.86895751953125,0.9997145533561707,406.567626953125,55.01784896850586,0.9998582601547241,314.60504150390625,209.4865264892578,0.9998655319213867,287.7070617675781,308.6911315917969,0.9988671541213989,451.3518981933594,249.20849609375,0.9999275207519531,413.2041015625,354.6644287109375,0.9990585446357727,979.762939453125,531.0267944335938,0.999809205532074
5,384.4179382324219,284.62713623046875,0.9997419714927673,406.9883117675781,55.389976501464844,0.9998310804367065,314.60504150390625,209.4865264892578,0.9997480511665344,287.7070617675781,308.6911315917969,0.9992662072181702,451.35394287109375,249.20849609375,0.9999266862869263,413.2041015625,354.9605407714844,0.9994531273841858,979.7666625976562,531.0267944335938,0.999826967716217
6,384.5283508300781,284.66033935546875,0.9997298121452332,407.0956115722656,55.81182098388672,0.999813973903656,314.6249694824219,209.4865264892578,0.9997425675392151,287.7654724121094,308.6911315917969,0.9993220567703247,451.4781799316406,249.20028686523438,0.9999246597290039,413.5081787109375,354.6644287109375,0.9994470477104187,979.7666625976562,531.0266723632812,0.9998270869255066
7,385.9217834472656,284.66033935546875,0.9998873472213745,407.6895751953125,55.82463073730469,0.9997279047966003,314.6510925292969,209.70828247070312,0.9998026490211487,293.67144775390625,308.7373352050781,0.9993571639060974,455.5150451660156,248.22935485839844,0.9998924732208252,416.3067932128906,354.6643981933594,0.999052107334137,979.7666625976562,531.0266723632812,0.9998241066932678
