"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist","Right_foot_centerline_dist_normalized","Left_foot_centerline_dist_normalized"
0,-9.32299446815195,NA,NA,NA,NA
1,-8.90969422981588,NA,NA,NA,NA
2,-8.87816582530046,NA,NA,NA,NA
3,-8.77726022780042,NA,NA,NA,NA
4,-8.68821971519498,NA,NA,NA,NA
5,-8.71402865320141,NA,NA,NA,NA
6,-8.71672180306669,NA,NA,NA,NA
7,-8.60868619272741,NA,NA,NA,NA
8,-8.6158304023668,NA,NA,NA,NA
9,-8.61347187135501,NA,NA,NA,NA
10,-8.56200102897785,NA,NA,NA,NA
11,-7.47984541456304,NA,NA,NA,NA
12,-7.4723545718856,NA,NA,NA,NA
13,-7.4723545718856,NA,NA,NA,NA
14,-7.47984541456304,NA,NA,NA,NA
15,-7.6449646605036,NA,NA,NA,NA
16,-7.66135186232716,NA,NA,NA,NA
17,-7.71956019621922,NA,NA,NA,NA
18,-7.7014787989347,NA,NA,NA,NA
19,-7.67386179339938,NA,NA,NA,NA
20,-7.64105842685876,NA,NA,NA,NA
21,-8.11071819510174,NA,NA,NA,NA
22,-8.12130923205734,NA,NA,NA,NA
23,-8.44115627300381,NA,NA,NA,NA
24,-8.48890737053143,NA,NA,NA,NA
25,-9.3472388400751,NA,NA,NA,NA
26,-9.4031383634293,NA,NA,NA,NA
27,-9.41092186363693,NA,NA,NA,NA
28,-9.37078998161395,NA,NA,NA,NA
29,-9.30125559748847,NA,NA,NA,NA
30,-9.28113605040529,NA,NA,NA,NA
31,-8.70006832392253,NA,NA,NA,NA
32,-8.67961345755172,NA,NA,NA,NA
33,-8.63754658115827,NA,NA,NA,NA
34,-8.59760038667424,NA,NA,NA,NA
35,-8.54534546690862,NA,NA,NA,NA
36,-8.54534546690862,NA,NA,NA,NA
37,-8.43126488295061,NA,NA,NA,NA
38,-8.43416695249263,NA,NA,NA,NA
39,-8.43416695249263,NA,NA,NA,NA
40,-8.42232706582332,NA,NA,NA,NA
41,-8.38378139556501,NA,NA,NA,NA
42,-8.34796065084793,NA,NA,NA,NA
43,-8.30630097298116,NA,NA,NA,NA
44,-8.2151894135692,NA,NA,NA,NA
45,-7.95538421141999,NA,NA,NA,NA
46,-7.95538421141999,NA,NA,NA,NA
47,-7.92408768203271,NA,NA,NA,NA
48,-8.04373210783489,NA,NA,NA,NA
49,-8.20806027034568,NA,NA,NA,NA
50,-8.20849056699287,NA,NA,NA,NA
51,-8.34925241310637,NA,NA,NA,NA
52,-8.37481399461696,NA,NA,NA,NA
53,-8.45463220576464,NA,NA,NA,NA
54,-8.4835644939707,NA,NA,NA,NA
55,-8.4835644939707,NA,NA,NA,NA
56,-8.43520161040051,NA,NA,NA,NA
57,-8.37813816207278,NA,NA,NA,NA
58,-8.41810475381756,NA,NA,NA,NA
59,-8.99700265296328,NA,NA,NA,NA
60,-9.02364944100655,NA,NA,NA,NA
61,-9.08936509970959,NA,NA,NA,NA
62,-9.08936509970959,NA,NA,NA,NA
63,-9.15648263665611,NA,NA,NA,NA
64,-9.1512881212069,NA,NA,NA,NA
65,-7.61046747127615,NA,NA,NA,NA
66,-7.61065845756694,NA,NA,NA,NA
67,-7.63710886164727,NA,NA,NA,NA
68,-7.68136453307034,NA,NA,NA,NA
69,-7.68320322026662,NA,NA,NA,NA
70,-7.6980158196458,NA,NA,NA,NA
71,-7.39155135358745,NA,NA,NA,NA
72,-7.3933140765345,NA,NA,NA,NA
73,-7.3933140765345,NA,NA,NA,NA
74,-7.39155135358745,NA,NA,NA,NA
75,-7.95642849295463,NA,NA,NA,NA
76,-8.1139633775514,NA,NA,NA,NA
77,-8.35489972624361,NA,NA,NA,NA
78,-8.40747109758668,NA,NA,NA,NA
79,-8.45239870145915,NA,NA,NA,NA
80,-8.4089338228503,NA,NA,NA,NA
81,-8.40775823398597,NA,NA,NA,NA
82,-8.44640923550076,NA,NA,NA,NA
83,-8.47846634275546,NA,NA,NA,NA
84,-8.51201296432697,NA,NA,NA,NA
85,-8.56922934904161,NA,NA,NA,NA
86,-8.57270685804693,NA,NA,NA,NA
87,-8.0972893600221,NA,NA,NA,NA
88,-8.05763415763096,NA,NA,NA,NA
89,-8.07739713949708,NA,NA,NA,NA
90,-8.14015772366184,NA,NA,NA,NA
91,-8.11958118692346,NA,NA,NA,NA
92,-8.05763415763096,NA,NA,NA,NA
93,-7.92211712196023,NA,NA,NA,NA
94,-7.87666239541179,NA,NA,NA,NA
95,-7.85255697438144,NA,NA,NA,NA
96,-7.85255697438144,NA,NA,NA,NA
97,-8.33925956919061,NA,NA,NA,NA
98,-8.33925956919061,NA,NA,NA,NA
99,-8.33925956919061,NA,NA,NA,NA
100,-8.29187498032595,NA,NA,NA,NA
101,-8.17996471402559,NA,NA,NA,NA
102,-8.18884740519377,NA,NA,NA,NA
103,-8.27386252988427,NA,NA,NA,NA
104,-8.27819860245505,NA,NA,NA,NA
105,-8.86242272633224,NA,NA,NA,NA
106,-8.86057694410314,NA,NA,NA,NA
107,-9.01608234980623,NA,NA,NA,NA
108,-8.94250835572022,NA,NA,NA,NA
109,-8.9122566562446,NA,NA,NA,NA
110,-8.86762023914119,NA,NA,NA,NA
111,-8.7964847410506,NA,NA,NA,NA
112,-8.73780104295514,NA,NA,NA,NA
113,-8.67399065486073,NA,NA,NA,NA
114,-8.61598231169179,NA,NA,NA,NA
115,-8.62190110170455,NA,NA,NA,NA
116,-8.58101606919397,NA,NA,NA,NA
117,-8.15462568859558,NA,NA,NA,NA
118,-8.15502377499976,NA,NA,NA,NA
119,-8.15502377499976,NA,NA,NA,NA
120,-8.25917331785219,NA,NA,NA,NA
121,-8.5452426261687,NA,NA,NA,NA
122,-8.56915549002534,NA,NA,NA,NA
123,-8.55883644561084,NA,NA,NA,NA
124,-8.54936733559938,NA,NA,NA,NA
125,-8.54936733559938,NA,NA,NA,NA
126,-8.60143189547088,NA,NA,NA,NA
127,-8.56996675174465,NA,NA,NA,NA
128,-8.67220900439474,NA,NA,NA,NA
129,-9.31657774248714,NA,NA,NA,NA
130,-9.31657774248714,NA,NA,NA,NA
131,-9.36131286203197,NA,NA,NA,NA
132,-9.36131286203197,NA,NA,NA,NA
133,-9.36612138278952,NA,NA,NA,NA
134,-9.42116257159822,NA,NA,NA,NA
135,-9.54714351221907,NA,NA,NA,NA
136,-9.52638927286254,NA,NA,NA,NA
137,-9.38469396319348,NA,NA,NA,NA
138,-9.32128991348934,NA,NA,NA,NA
139,-8.04283652733731,NA,NA,NA,NA
140,-8.041721065694,NA,NA,NA,NA
141,-8.17903575369577,NA,NA,NA,NA
142,-8.17827514282383,NA,NA,NA,NA
143,-8.12889896233323,NA,NA,NA,NA
144,-7.940779693217,NA,NA,NA,NA
145,-7.883696926505,NA,NA,NA,NA
146,-7.9535954038951,NA,NA,NA,NA
147,-7.97769277939839,NA,NA,NA,NA
148,-8.35415255224399,NA,NA,NA,NA
149,-8.43559729764718,NA,NA,NA,NA
150,-8.47576228115848,NA,NA,NA,NA
151,-8.47748049904602,NA,NA,NA,NA
152,-8.49358009034316,NA,NA,NA,NA
153,-8.54374587299599,NA,NA,NA,NA
154,-8.77332904018948,NA,NA,NA,NA
155,-8.78978923138893,NA,NA,NA,NA
156,-8.77332904018948,NA,NA,NA,NA
157,-8.69609904223008,NA,NA,NA,NA
158,-8.52743893498365,NA,NA,NA,NA
159,-8.47413316663486,NA,NA,NA,NA
160,-8.47413316663486,NA,NA,NA,NA
161,-8.48091722226525,NA,NA,NA,NA
162,-8.7699865357058,NA,NA,NA,NA
163,-8.79831930497073,NA,NA,NA,NA
164,-9.76134154673624,NA,NA,NA,NA
165,-9.78375425273267,NA,NA,NA,NA
166,-9.78375425273267,NA,NA,NA,NA
167,-9.78102480145619,NA,NA,NA,NA
168,-9.31696204821467,NA,NA,NA,NA
169,-8.72929480224328,NA,NA,NA,NA
170,-8.73758698785645,2.1185993783674,39.3761921870525,0.0207761146455839,0.386143926755594
171,-8.66405989587293,NA,NA,NA,NA
172,-8.0764601968361,NA,NA,NA,NA
173,-8.08403672300642,NA,NA,NA,NA
174,-7.99706858614225,NA,NA,NA,NA
175,-7.84561316123293,NA,NA,NA,NA
176,-7.8343021424089,NA,NA,NA,NA
177,-7.83400136956766,NA,NA,NA,NA
178,-8.78652873125133,NA,NA,NA,NA
179,NA,NA,NA,NA,NA
180,-10.2512520147435,NA,NA,NA,NA
181,-10.2412520478134,NA,NA,NA,NA
182,-10.2412520478134,NA,NA,NA,NA
183,-10.2338045207872,NA,NA,NA,NA
184,-9.99050617305221,NA,NA,NA,NA
185,-9.95409172887349,NA,NA,NA,NA
186,-8.48198868239762,NA,NA,NA,NA
187,-8.41682840741718,NA,NA,NA,NA
188,-8.2810177969284,NA,NA,NA,NA
189,-8.29098127593125,NA,NA,NA,NA
190,-8.29848234109738,NA,NA,NA,NA
191,-8.28342440410931,NA,NA,NA,NA
192,-7.67205206756829,NA,NA,NA,NA
193,-7.64990608503399,NA,NA,NA,NA
194,-7.64990608503399,NA,NA,NA,NA
195,-7.66622257540182,NA,NA,NA,NA
196,-8.57191731582291,NA,NA,NA,NA
197,-8.59225786577051,NA,NA,NA,NA
198,-8.59225786577051,7.23242215927407,34.5598363859994,0.0709249863285297,0.338912174816861
199,-8.57795903814868,7.22010114012088,33.922777206682,0.0708041598480299,0.332664832973629
