"Frame","Body_Angle","Right_foot_centerline_dist","Left_foot_centerline_dist","Right_foot_centerline_dist_normalized","Left_foot_centerline_dist_normalized"
0,-4.93137541313782,NA,NA,NA,NA
1,-4.48247316269748,NA,NA,NA,NA
2,-4.44501455599026,NA,NA,NA,NA
3,-4.44501455599026,NA,NA,NA,NA
4,-4.45336573646826,NA,NA,NA,NA
5,-5.0619373945194,NA,NA,NA,NA
6,-5.10813996135614,NA,NA,NA,NA
7,-5.8789191731233,NA,NA,NA,NA
8,-5.90532080349291,NA,NA,NA,NA
9,-7.89109486318236,NA,NA,NA,NA
10,-7.89696963632659,NA,NA,NA,NA
11,-7.89696963632659,NA,NA,NA,NA
12,-7.89678761989872,NA,NA,NA,NA
13,-7.79640095178875,NA,NA,NA,NA
14,-7.79640095178875,NA,NA,NA,NA
15,-7.79354573968674,NA,NA,NA,NA
16,-7.7927631045329,NA,NA,NA,NA
17,-7.46868697103563,NA,NA,NA,NA
18,-7.45411056418115,NA,NA,NA,NA
19,-7.38413931542526,NA,NA,NA,NA
20,-7.36114128875029,NA,NA,NA,NA
21,-7.24684393014209,NA,NA,NA,NA
22,-7.26526862660784,NA,NA,NA,NA
23,-7.39265032205305,NA,NA,NA,NA
24,-7.41185853943238,NA,NA,NA,NA
25,-7.42055318760288,NA,NA,NA,NA
26,-7.42136616208306,NA,NA,NA,NA
27,-7.45018539444447,NA,NA,NA,NA
28,-7.43500968777883,NA,NA,NA,NA
29,-7.43500968777883,NA,NA,NA,NA
30,-7.43434064781905,NA,NA,NA,NA
31,-7.67816924137661,NA,NA,NA,NA
32,-7.68157773909428,NA,NA,NA,NA
33,-8.33460249766507,NA,NA,NA,NA
34,-8.345724272686,NA,NA,NA,NA
35,-8.36896327689093,NA,NA,NA,NA
36,-8.3767502335628,NA,NA,NA,NA
37,-8.3651953085845,NA,NA,NA,NA
38,-8.36145955516352,NA,NA,NA,NA
39,-8.52450657738862,NA,NA,NA,NA
40,-8.54890899671226,NA,NA,NA,NA
41,-9.99343442194731,NA,NA,NA,NA
42,-9.99569031244187,NA,NA,NA,NA
43,-9.99818468208474,NA,NA,NA,NA
44,-9.99672827753965,NA,NA,NA,NA
45,-9.74812043433482,NA,NA,NA,NA
46,-9.73911462079248,NA,NA,NA,NA
47,-8.39375058553087,NA,NA,NA,NA
48,-8.39277934309186,NA,NA,NA,NA
49,-8.39277934309186,NA,NA,NA,NA
50,-8.41377668935584,NA,NA,NA,NA
51,-9.93733532063272,NA,NA,NA,NA
52,-9.93889706853611,NA,NA,NA,NA
53,-9.93889706853611,NA,NA,NA,NA
54,-9.93541149608068,NA,NA,NA,NA
55,-8.36977585481026,NA,NA,NA,NA
56,-8.3692082445074,NA,NA,NA,NA
57,-8.3813603578328,NA,NA,NA,NA
58,-8.38452981084582,NA,NA,NA,NA
59,-9.29975659263952,NA,NA,NA,NA
60,-9.32044042645158,NA,NA,NA,NA
61,-9.32044042645158,NA,NA,NA,NA
62,-9.32044042645158,NA,NA,NA,NA
63,-9.07363658389518,NA,NA,NA,NA
64,-9.0696417255883,NA,NA,NA,NA
65,-6.96927527481635,NA,NA,NA,NA
66,-6.96160911160338,NA,NA,NA,NA
67,-6.94875083864894,NA,NA,NA,NA
68,-6.95590633508109,NA,NA,NA,NA
69,-7.73039298906702,NA,NA,NA,NA
70,-7.73507100819701,NA,NA,NA,NA
71,-8.687660825602,NA,NA,NA,NA
72,-8.68934347980762,NA,NA,NA,NA
73,-9.1312191502623,NA,NA,NA,NA
74,-9.12945377165531,NA,NA,NA,NA
75,-9.26250081948793,NA,NA,NA,NA
76,-9.26090840289391,NA,NA,NA,NA
77,-9.27103663318128,NA,NA,NA,NA
78,-9.27577730614467,NA,NA,NA,NA
79,-9.53838692889084,NA,NA,NA,NA
80,-9.54072224145002,NA,NA,NA,NA
81,-9.54072224145002,NA,NA,NA,NA
82,-9.5384663911273,NA,NA,NA,NA
83,-7.91570042819669,NA,NA,NA,NA
84,-7.91364086268139,NA,NA,NA,NA
85,-7.84337947881246,NA,NA,NA,NA
86,-7.8373689761004,NA,NA,NA,NA
87,-7.69165448120297,NA,NA,NA,NA
88,-7.69037368458179,NA,NA,NA,NA
89,-7.12756379560873,NA,NA,NA,NA
90,-7.11867993270469,NA,NA,NA,NA
91,-6.25451222240116,NA,NA,NA,NA
92,-6.25451222240116,NA,NA,NA,NA
93,-6.25451222240116,NA,NA,NA,NA
94,-6.25893414974275,NA,NA,NA,NA
95,-8.61191624876162,NA,NA,NA,NA
96,-8.61406601119385,NA,NA,NA,NA
97,-9.70537485879358,NA,NA,NA,NA
98,-9.71140712135322,NA,NA,NA,NA
99,-9.73444531102477,NA,NA,NA,NA
